* DMS Fastgraph population variation export
* Rig: B&K 5128
* Dataset: ARI + AXD/SONICOM + SoundSphere2
* Measurement Type: blocked-ear-canal in-ear HRTF SOFA data
* Population Units: 749 listeners, one bilateral diffuse-field curve per listener
* Database Counts: ARI=263; AXD/SONICOM=408; SoundSphere2=78
* Weighting: equal listener weighting; all available directions and both receivers averaged per listener
* EQ Applied: No
* Channel Side: bilateral
* Export Type: Variation Band
* Export Date: 2026-07-29 14:48:15
* Compensated: Yes
* HRTF Files: 5128 canal approximation.txt; 5128 DF.txt
* Canal Correction: above 1 kHz, blocked-canal response + 5128 canal transfer function; below 1 kHz, smoothly transitioned to aligned 5128 DF line; 16-20 kHz high-frequency slope blended toward aligned 5128 DF
* Listener Normalization: 0 dB at 1 kHz before canal correction
* Variation Sweeps: 749 listener curves
* Smoothing: 1/48 octave
* Percentiles: p10/p25/median/p75/p90 across listeners
* Normalization: Fastgraph 1 kHz normalization above transition; DF line aligned to the 1 kHz median
* Points: log-spaced
*
* Low-Frequency Reference: 5128 DF.txt
* DF Transition: smooth log-frequency blend; original VAR at 1 kHz, single DF line at 500 Hz and below
* DF Alignment: DF curve offset to match the original population median at 1 kHz
* High-Frequency Treatment: smooth 16-17 kHz handoff, then 5128 DF slope through 20 kHz
* High-Frequency Alignment: DF curve aligned to the measured median at 16 kHz; 16 kHz percentile offsets held through 20 kHz
* Frequency(Hz)	P10(dB)	P25(dB)	Median(dB)	P75(dB)	P90(dB)
67.0607	-2.101551	-2.101551	-2.101551	-2.101551	-2.101551
67.4481	-2.101189	-2.101189	-2.101189	-2.101189	-2.101189
67.8378	-2.100390	-2.100390	-2.100390	-2.100390	-2.100390
68.2298	-2.099592	-2.099592	-2.099592	-2.099592	-2.099592
68.6240	-2.098795	-2.098795	-2.098795	-2.098795	-2.098795
69.0205	-2.098551	-2.098551	-2.098551	-2.098551	-2.098551
69.4193	-2.098199	-2.098199	-2.098199	-2.098199	-2.098199
69.8204	-2.097401	-2.097401	-2.097401	-2.097401	-2.097401
70.2238	-2.096603	-2.096603	-2.096603	-2.096603	-2.096603
70.6296	-2.095805	-2.095805	-2.095805	-2.095805	-2.095805
71.0377	-2.095007	-2.095007	-2.095007	-2.095007	-2.095007
71.4481	-2.094551	-2.094551	-2.094551	-2.094551	-2.094551
71.8609	-2.094411	-2.094411	-2.094411	-2.094411	-2.094411
72.2761	-2.093613	-2.093613	-2.093613	-2.093613	-2.093613
72.6937	-2.092816	-2.092816	-2.092816	-2.092816	-2.092816
73.1138	-2.092018	-2.092018	-2.092018	-2.092018	-2.092018
73.5362	-2.091220	-2.091220	-2.091220	-2.091220	-2.091220
73.9611	-2.090421	-2.090421	-2.090421	-2.090421	-2.090421
74.3884	-2.089623	-2.089623	-2.089623	-2.089623	-2.089623
74.8182	-2.088826	-2.088826	-2.088826	-2.088826	-2.088826
75.2505	-2.088551	-2.088551	-2.088551	-2.088551	-2.088551
75.6853	-2.088230	-2.088230	-2.088230	-2.088230	-2.088230
76.1226	-2.087432	-2.087432	-2.087432	-2.087432	-2.087432
76.5624	-2.086634	-2.086634	-2.086634	-2.086634	-2.086634
77.0048	-2.085836	-2.085836	-2.085836	-2.085836	-2.085836
77.4497	-2.085039	-2.085039	-2.085039	-2.085039	-2.085039
77.8972	-2.084241	-2.084241	-2.084241	-2.084241	-2.084241
78.3473	-2.083442	-2.083442	-2.083442	-2.083442	-2.083442
78.8000	-2.082644	-2.082644	-2.082644	-2.082644	-2.082644
79.2553	-2.081847	-2.081847	-2.081847	-2.081847	-2.081847
79.7132	-2.080547	-2.080547	-2.080547	-2.080547	-2.080547
80.1738	-2.079251	-2.079251	-2.079251	-2.079251	-2.079251
80.6370	-2.078452	-2.078452	-2.078452	-2.078452	-2.078452
81.1030	-2.077654	-2.077654	-2.077654	-2.077654	-2.077654
81.5716	-2.076857	-2.076857	-2.076857	-2.076857	-2.076857
82.0429	-2.076059	-2.076059	-2.076059	-2.076059	-2.076059
82.5169	-2.075261	-2.075261	-2.075261	-2.075261	-2.075261
82.9937	-2.074375	-2.074375	-2.074375	-2.074375	-2.074375
83.4732	-2.072779	-2.072779	-2.072779	-2.072779	-2.072779
83.9555	-2.071867	-2.071867	-2.071867	-2.071867	-2.071867
84.4406	-2.071070	-2.071070	-2.071070	-2.071070	-2.071070
84.9285	-2.069992	-2.069992	-2.069992	-2.069992	-2.069992
85.4192	-2.068473	-2.068473	-2.068473	-2.068473	-2.068473
85.9127	-2.067675	-2.067675	-2.067675	-2.067675	-2.067675
86.4091	-2.066878	-2.066878	-2.066878	-2.066878	-2.066878
86.9084	-2.065609	-2.065609	-2.065609	-2.065609	-2.065609
87.4105	-2.064282	-2.064282	-2.064282	-2.064282	-2.064282
87.9156	-2.063416	-2.063416	-2.063416	-2.063416	-2.063416
88.4235	-2.061821	-2.061821	-2.061821	-2.061821	-2.061821
88.9345	-2.060888	-2.060888	-2.060888	-2.060888	-2.060888
89.4483	-2.059630	-2.059630	-2.059630	-2.059630	-2.059630
89.9651	-2.058034	-2.058034	-2.058034	-2.058034	-2.058034
90.4849	-2.056494	-2.056494	-2.056494	-2.056494	-2.056494
91.0077	-2.055696	-2.055696	-2.055696	-2.055696	-2.055696
91.5336	-2.054246	-2.054246	-2.054246	-2.054246	-2.054246
92.0625	-2.052651	-2.052651	-2.052651	-2.052651	-2.052651
92.5944	-2.051302	-2.051302	-2.051302	-2.051302	-2.051302
93.1294	-2.050457	-2.050457	-2.050457	-2.050457	-2.050457
93.6675	-2.048862	-2.048862	-2.048862	-2.048862	-2.048862
94.2087	-2.047267	-2.047267	-2.047267	-2.047267	-2.047267
94.7530	-2.046111	-2.046111	-2.046111	-2.046111	-2.046111
95.3005	-2.045075	-2.045075	-2.045075	-2.045075	-2.045075
95.8511	-2.043478	-2.043478	-2.043478	-2.043478	-2.043478
96.4049	-2.041883	-2.041883	-2.041883	-2.041883	-2.041883
96.9619	-2.040919	-2.040919	-2.040919	-2.040919	-2.040919
97.5222	-2.039692	-2.039692	-2.039692	-2.039692	-2.039692
98.0857	-2.038096	-2.038096	-2.038096	-2.038096	-2.038096
98.6524	-2.036499	-2.036499	-2.036499	-2.036499	-2.036499
99.2224	-2.034904	-2.034904	-2.034904	-2.034904	-2.034904
99.7957	-2.033930	-2.033930	-2.033930	-2.033930	-2.033930
100.3723	-2.032713	-2.032713	-2.032713	-2.032713	-2.032713
100.9522	-2.031117	-2.031117	-2.031117	-2.031117	-2.031117
